season,team,games,wins,win_pct,avg_pts_for,avg_pts_against,avg_point_diff,avg_assists,avg_reb_off,avg_reb_def,avg_reb_total,avg_turnovers,avg_steals,avg_blocks,sos,avg_reb_margin,avg_off_reb_rate,avg_ast_to,avg_stl_to,assist_turnover_ratio,steal_turnover_ratio,champion
1985,76ers,83,57,0.6867469879518072,112.4578313253012,108.63855421686748,3.819277108433735,24.349397590361445,15.444444444444445,29.0,45.13253012048193,19.155844155844157,10.054545454545455,6.625,0.5056216300237446,3.63855421686747,0.33572776631588946,1.352962285820536,0.5388093896374029,1.3701694915244949,0.374915254237034,0
1985,Bucks,82,56,0.6829268292682927,111.45121951219512,105.76829268292683,5.682926829268292,26.29268292682927,13.88888888888889,26.75,49.04938271604938,18.428571428571427,8.545454545454545,4.571428571428571,0.4858994035306381,-0.4875,0.34421617616785866,1.4688254647114436,0.4611986943281286,8.356589147254432,0.36434108526990566,0
1985,Bulls,79,34,0.43037974683544306,109.0,110.75949367088607,-1.759493670886076,23.897435897435898,15.25,23.5,46.94871794871795,16.666666666666668,8.375,4.555555555555555,0.5059446376790157,-0.358974358974359,0.36816251435327063,1.3455985362257745,0.5045325417305686,12.426666666583824,0.4466666666636889,0
1985,Cavaliers,78,33,0.4230769230769231,108.67948717948718,111.88461538461539,-3.2051282051282053,25.474358974358974,12.6,26.75,51.756410256410255,15.6,8.777777777777779,5.2,0.5113083831198871,-0.5897435897435898,0.30809796662663125,1.8216242089958565,0.6227699768913211,12.737179487097839,0.5064102564070102,0
1985,Celtics,95,70,0.7368421052631579,115.25263157894737,109.15789473684211,6.094736842105263,27.870967741935484,13.727272727272727,29.952380952380953,49.81720430107527,15.88888888888889,8.703703703703704,5.407407407407407,0.5076933692120867,3.5591397849462365,0.32107561442852794,1.88344902220758,0.6157005064786022,6.041958041943959,0.5477855477842709,0
1985,Clippers,74,28,0.3783783783783784,108.14864864864865,112.78378378378379,-4.635135135135135,23.824324324324323,,,49.89041095890411,28.0,,6.0,0.4945013311504908,0.7916666666666666,,0.8571428571122449,,62.96428571203699,0.0,0
1985,Hawks,74,30,0.40540540540540543,106.29729729729729,107.9054054054054,-1.6081081081081081,24.54054054054054,,,48.28378378378378,19.25,6.0,3.6,0.4952827432822451,-3.4594594594594597,,1.1872591176258405,,23.58441558410929,0.07792207792106594,0
1985,Jazz,85,42,0.49411764705882355,109.8,110.50588235294117,-0.7058823529411765,26.105882352941176,13.1,32.4,50.294117647058826,18.25,9.0,7.5,0.5015936934288174,-5.176470588235294,0.26608234595102015,1.411525285217329,0.5115694440118235,10.132420091277934,0.49315068492925507,0
1985,Kings,75,27,0.36,115.54666666666667,118.62666666666667,-3.08,28.613333333333333,,,49.013333333333335,18.0,,2.0,0.4992948569099582,0.3466666666666667,,1.7812499998996094,,59.61111110945525,0.0,0
1985,Knicks,74,22,0.2972972972972973,105.55405405405405,109.9054054054054,-4.351351351351352,24.123287671232877,16.0,,47.63013698630137,20.333333333333332,8.0,3.5,0.5064049845302769,-5.205479452054795,,1.3625446810977258,0.37998472114268134,14.434426229389882,0.3278688524563289,0
1985,Lakers,93,73,0.7849462365591398,120.45161290322581,112.24731182795699,8.204301075268818,31.892473118279568,13.210526315789474,32.89473684210526,48.956989247311824,16.75,9.368421052631579,6.4,0.48676355086117973,3.3655913978494625,0.33339337864769586,2.214446118095233,0.6086432547976041,8.853731343257154,0.5313432835805034,1
1985,Mavericks,79,39,0.4936708860759494,112.0632911392405,111.0379746835443,1.0253164556962024,26.303797468354432,14.6,26.75,47.65822784810127,16.833333333333332,7.5,3.0,0.4888733236234051,-1.481012658227848,0.3259863910525434,1.5582107842151192,0.4676879084664189,20.574257425538867,0.4455445544510342,0
1985,Nets,77,36,0.4675324675324675,109.79220779220779,110.20779220779221,-0.4155844155844156,26.36842105263158,14.0,32.0,49.23684210526316,17.25,8.142857142857142,4.875,0.5025645192335675,-0.19736842105263158,0.2518840579653634,1.69402281734202,0.5226190475812819,14.521739130329554,0.4130434782578765,0
1985,Nuggets,90,55,0.6111111111111112,120.62222222222222,118.42222222222222,2.2,28.033333333333335,16.066666666666666,29.266666666666666,49.733333333333334,17.0,10.125,4.647058823529412,0.4974807446630002,-1.0444444444444445,0.3319210978178712,1.9551858090508707,0.6993276441538124,8.730103806198166,0.5605536332160534,0
1985,Pacers,75,21,0.28,109.14666666666666,115.24,-6.093333333333334,24.10810810810811,14.0,,51.56164383561644,25.666666666666668,9.666666666666666,5.833333333333333,0.5114588274800143,0.4383561643835616,,0.9137921677783073,0.4005959982801941,11.584415584340361,0.18831168831046552,0
1985,Pistons,83,47,0.5662650602409639,116.144578313253,114.10843373493977,2.036144578313253,27.682926829268293,15.8,28.8,52.548780487804876,15.714285714285714,9.666666666666666,3.8666666666666667,0.5085859033842154,2.4878048780487805,0.3328872431732671,1.750148803414141,0.5912055626635659,10.318181818134917,0.6590909090879132,0
1985,Rockets,80,47,0.5875,111.075,109.525,1.55,27.075,22.0,34.8,53.4875,16.142857142857142,8.8,8.0,0.4819087812942623,5.275,0.39661592998059375,1.4732722912649605,0.6138188608301831,19.168141592750725,0.38938053097000547,0
1985,Spurs,80,39,0.4875,115.4875,115.225,0.2625,28.15,11.0,30.0,49.4,21.0,7.2,5.285714285714286,0.49672087279753024,2.125,0.2877362817284611,1.1850991858145947,0.3304093567097218,17.873015872874024,0.2857142857120181,0
